chr_gr_ch37	twas_trait	twas_gene	dgn_chunk
19	hls_reticulocyte_count	BCKDHA	7
19	hls_reticulocyte_count	ATP5SL	7
19	reticulocyte_percentage	BCKDHA	7
19	reticulocyte_percentage	ATP5SL	7
19	hls_reticulocyte_percentage	BCKDHA	7
19	hls_reticulocyte_percentage	ATP5SL	7
19	mean_platelet_volume	KCNN4	8
19	mean_platelet_volume	LYPD5	8
19	neutrophil_percentage	KCNN4	8
19	neutrophil_percentage	LYPD5	8
19	monocyte_count	KCNN4	8
19	monocyte_count	LYPD5	8
19	monocyte_percentage	KCNN4	8
19	monocyte_percentage	LYPD5	8
19	lymphocyte_percentage	SPHK2	8
19	lymphocyte_percentage	CA11	8
19	plateletcrit	CNOT3	9
19	plateletcrit	TMC4	9
19	mean_platelet_volume	ZNF324	10
19	mean_platelet_volume	ZNF446	10
19	platelet_count	ZNF132	10
19	platelet_count	ZNF324	10
19	platelet_count	SLC27A5	10
19	plateletcrit	ZNF132	10
19	plateletcrit	ZNF324	10
19	plateletcrit	SLC27A5	10
20	lymphocyte_count	DNMT3B	6
20	lymphocyte_count	MAPRE1	6
20	mean_platelet_volume	YWHAB	8
20	mean_platelet_volume	PABPC1L	8
20	basophil_percentage	YWHAB	8
20	basophil_percentage	PABPC1L	8
20	hls_reticulocyte_percentage	ARFGEF2	8
20	hls_reticulocyte_percentage	CSE1L	9
20	platelet_count	ZGPAT	11
20	platelet_count	LIME1	11
20	plateletcrit	ZGPAT	11
20	plateletcrit	LIME1	11
20	neutrophil_count	ZGPAT	11
20	neutrophil_count	LIME1	11
20	lymphocyte_percentage	ZGPAT	11
20	lymphocyte_percentage	LIME1	11
20	neutrophil_percentage	ZGPAT	11
20	neutrophil_percentage	LIME1	11
21	white_blood_cell_count	MCM3AP	8
21	white_blood_cell_count	PCNT	8
21	lymphocyte_count	PCNT	8
21	lymphocyte_count	DIP2A	8
22	neutrophil_count	BCL2L13	3
22	neutrophil_count	BID	3
22	white_blood_cell_count	BCL2L13	3
22	white_blood_cell_count	BID	3
22	red_blood_cell_width	UBE2L3	4
22	red_blood_cell_width	CCDC116	4
22	neutrophil_percentage	UBE2L3	4
22	neutrophil_percentage	CCDC116	4
22	mean_cell_volume	UBE2L3	4
22	mean_cell_volume	CCDC116	4
22	mean_sphered_cell_volume	UBE2L3	4
22	mean_sphered_cell_volume	CCDC116	4
22	eosinophil_percentage	UBE2L3	4
22	eosinophil_percentage	CCDC116	4
22	lymphocyte_count	UBE2L3	4
22	lymphocyte_count	CCDC116	4
22	reticulocyte_count	UBE2L3	4
22	reticulocyte_count	CCDC116	4
22	reticulocyte_percentage	UBE2L3	4
22	reticulocyte_percentage	CCDC116	4
22	lymphocyte_percentage	UBE2L3	4
22	lymphocyte_percentage	CCDC116	4
22	hls_reticulocyte_percentage	UBE2L3	4
22	hls_reticulocyte_percentage	CCDC116	4
22	hls_reticulocyte_count	UBE2L3	4
22	hls_reticulocyte_count	CCDC116	4
22	mean_cell_hemoglobin	UBE2L3	4
22	mean_cell_hemoglobin	CCDC116	4
22	red_blood_cell_width	RNF185	6
22	red_blood_cell_width	PIK3IP1	6
22	red_blood_cell_width	SFI1	6
22	eosinophil_percentage	RNF185	6
22	eosinophil_percentage	PIK3IP1	6
22	mean_cell_volume	DDX17	7
22	mean_cell_volume	JOSD1	7
22	mean_cell_hemoglobin	DDX17	7
22	mean_cell_hemoglobin	JOSD1	7
22	mean_sphered_cell_volume	DDX17	7
22	mean_sphered_cell_volume	JOSD1	7
22	plateletcrit	DDX17	7
22	plateletcrit	JOSD1	7
